reasoning,company,job_title,location,domain,domain_specific_skills,work_model,min_experience,max_experience,number_of_employees,weeks_since_posting,min_salary,max_salary,no_of_applicants,company_type,key_responsibilities,technical_requirements,education,benefits_culture,unique_aspects,application_link,applicant_insights,_job_index
"The job listing is for an AI Tutor (Punjabi/English) position at DataAnnotation, a company that develops high-quality AI. The job involves training AI chatbots, creating conversations, and evaluating their performance. The ideal candidate should be fluent in Punjabi and English, have a bachelor's degree, and excellent writing and grammar skills.",DataAnnotation,"junior, AI, tutor",India,AI,"AI chatbots, conversation creation, performance evaluation","Remote, Contract",0,2,Not specified,0,20.0,,5,Not specified,"Creating conversations on various topics, writing high-quality answers, comparing the performance of different AI models, researching and fact-checking AI answers","Fluency in Punjabi and English, bachelor's degree, excellent writing and grammar skills, fact-checking and research skills",Bachelors,"Flexible work schedule, ability to choose own projects, hourly pay with bonuses for high-quality work","Opportunity to work on AI chatbot development, flexible work schedule, hourly pay with bonuses",,"The ideal candidate should be fluent in Punjabi and English, have a bachelor's degree, and excellent writing and grammar skills. They should also have fact-checking and research skills.",0
"The job listing is for a Salesforce Developer position at Adroit Innovative Solutions Inc. The job requires 0-2 years of experience in building and enhancing scalable Salesforce solutions, with proficiency in Apex, Lightning Web Components (LWC), Flows, and Salesforce APIs.",Adroit Innovative Solutions Inc,"junior, salesforce, developer",India,salesforce development,"Apex, Lightning Web Components (LWC), Flows, Salesforce APIs, REST/SOAP APIs","Remote, Contract",0,2,201-500 employees,0,1400000.0,1400000.0,100,"Software Development, US-based IT consulting and software development company","Develop, customize, and enhance Salesforce applications, design and implement integrations with third-party systems, collaborate with functional teams, adhere to Salesforce development best practices, perform unit testing and code reviews, provide post-deployment support","0-2 Years of Salesforce development experience, proficiency in Salesforce APIs, strong experience with Lightning Web Components (LWC) and Apex Triggers, expertise in Salesforce Flows and process automation, hands-on experience with Salesforce integrations",Bachelors,"Client-centricity, integrity, innovation, excellence, inclusion, diversity, and collaboration","US-based IT consulting and software development company, committed to delivering technology-driven solutions, empowering organizations to navigate digital transformation with confidence",,No response insights available yet,1
"The job listing is for a Data Analyst position at Peroptyx, a company that provides location-based machine learning training data and model evaluation solutions. The job involves reviewing mapping data for digital mapping applications, verifying business names and opening hours, and checking the accuracy of route distances. The ideal candidate should be fluent in English, have excellent research skills, and have a good understanding of the geography and culture of India.",Peroptyx,"junior, data, analyst",India,"AI, data analysis","mapping data, digital mapping applications, search engines, map applications, social media platforms, Pin Codes, street view applications","Remote, Contract",0,2,11-50 employees,0,,,100,IT Services and IT Consulting,"Verify business names and opening hours, check the accuracy of route distances, review mapping data for digital mapping applications","Fluent in English, excellent research skills, good understanding of the geography and culture of India, analytical mindset, good working knowledge of search engines, map applications, and social media platforms",Bachelors,"Flexible working schedule, work from home, competitive rate of pay, develop research skills, avoid long commute","Opportunity to work with a global company, flexible working hours, ability to work from home",,The ideal candidate should be a self-motivated individual with excellent research skills and a good understanding of the geography and culture of India. The company is looking for someone who can work independently and has a strong ability to learn and apply multiple sets of instructions.,2
"The job listing is for a Software Engineer position at Schedley.com, a technology company that specializes in smart scheduling platforms. The ideal candidate should have a Bachelor's degree in Computer Science, 3+ years of relevant work experience, and expertise in Object Oriented Design, Database Design, and XML Schema. The job responsibilities include writing clean code, developing and supporting software, coordinating cross-functionally, and participating in code reviews.",Schedley.com,Senior Software Engineer,India,Software Development,"Object Oriented Design, Database Design, XML Schema, Agile, Scrum","Remote, Contract",3,10,2-10 employees,0,,,100,"Technology, Information and Internet, 2-10 employees","Writing clean, high-quality, high-performance, maintainable code, Develop and support software, Coordinate cross-functionally, Support test and deployment of new products and features, Participate in code reviews","Expertise in Object Oriented Design, Database Design, and XML Schema, Experience with Agile or Scrum software development methodologies",Bachelors,"Not specified, but the company offers a smart scheduling platform that helps professionals manage their time and avoid spam.","The company's platform filters out noise by verifying email authenticity and blocking bookings from public domain email addresses, and it also offers real-time calendar integration, flexible scheduling rules, and a powerful layer of email validation.",,"Over 100 applicants have applied for the position, but no response insights are available yet.",3
"The job listing is for an Artificial Intelligence Engineer at Glen AI, a remote-first, async-friendly company. The role involves building and deploying full-stack applications, working with AI tools, and influencing product direction. The company is looking for someone with solid experience in Python and/or JavaScript, full-stack development, and AI tools.",Glen AI,"Senior, Artificial Intelligence, Engineer",India,AI,"Python, JavaScript, Node.js, TypeScript, FastAPI, Firebase, Supabase, React, Next.js, OpenAI, LangChain, Claude, Pinecone, n8n, Make.com","Remote, Contract",2,5,2-10 employees,0,,,100,"Technology, Information and Internet, Startup","Build the first versions of core AI-powered software, develop full-stack systems, create internal tools, connect with LLMs, third-party APIs, and automation layers, prototype rapidly, test fast, and scale what works, influence product direction and technical decisions","Solid experience in Python and/or JavaScript, full-stack development, backend frameworks, frontend tools, APIs, logic flows, system design, automation tools, AI tools",Bachelors,"Remote-first, async-friendly, flexible compensation, room to grow, collaborative decision-making, quality, speed, and shipping real things","Building a powerful software company, AI-native products, connecting tools, data, and decisions, laying the foundation of a company aiming for long-term impact",,"No response insights available yet, but the company is looking for someone who is curious, independent, and thrives in startup energy",4
"The job listing is for a Consultant - Associate Data Scientist (AI/ML) position at DD-AIM, a U.S.-based company. The role is a contract/consulting position, and the company is looking for an independent contractor to contribute to their AI/ML research and development initiatives. The job requires a strong background in machine learning, Python, and PyTorch, as well as experience with Linux-based servers and resource-constrained environments.",DD-AIM,"Junior, Data Scientist, Consultant","Bengaluru, Karnataka, India",AI,"PyTorch, machine learning, Linux, Python, data preprocessing, feature engineering, experimentation pipeline setup, large language model (LLM) projects","Remote, Contract",0,2,11-50 employees,0,800.0,1200.0,100,"Technology, Information and Internet, 11-50 employees","Building, training, and deploying machine learning models, running and adapting models from external sources, supporting large language model (LLM) projects, collaborating with senior engineers and data scientists, performing data preprocessing, feature engineering, and experimentation pipeline setup","Strong programming skills in Python and PyTorch, familiarity with ML model training, validation, and tuning, comfort with managing datasets and experimental code, understanding of basic ML models (CNNs, RNNs, Transformers)",Bachelors,Not specified,"The company has invented and patented an innovative real-time inference accelerator chip for Predictive AI, and the role involves working on AI/ML research and development initiatives",,"Over 100 applicants, no response insights available yet",5
"The job listing is for a Funded Quantitative Trader position at ANT Investment, a subsidiary of Asiatic Stock & Securities Ltd. The company is looking for experienced traders to collaborate with and provide funding for systematic trading strategies. The role requires developing and executing trading strategies, monitoring performance, and collaborating with risk and technology teams.",ANT Investment,"senior, quantitative, trader",India,finance,"Python, R, MATLAB, C++, algorithmic trading, risk management, quantitative analysis","Remote, Contract",5,10,11-50 employees,0,,,36,"Financial Services, 11-50 employees","Research, develop, and execute systematic trading strategies, monitor and analyze performance, implement and update algorithmic strategies, collaborate with risk and technology teams, report on strategy performance","Strong programming skills, familiarity with automated trading platforms, experience with back testing, strategy evaluation, and live deployment",Bachelors,None mentioned,"Funding provided for systematic trading strategies, collaboration with risk and technology teams, strict adherence to predefined rules and firm risk protocols",,"No response insights available yet, but the company is looking for experienced traders with a deep understanding of financial instruments and algorithmic execution",6
"The job listing is for a Remote Cloud Infrastructure Engineer at Turing, a company that accelerates the advancement and deployment of powerful AI systems. The role requires expertise in AWS Cloud Development Kit (AWS CDK) with Python, and the candidate will be responsible for designing, implementing, and maintaining scalable and secure cloud infrastructures.",Turing,"Senior, Cloud Infrastructure, Engineer",India,"AI, Cloud, Development","AWS Cloud Development Kit (AWS CDK), Python, AWS Boto3 SDK, Python packaging tools (pip, virtualenv, venv), testing frameworks like pytest, debugging/validation tools such as flake8","Remote, Contract",0,10,"1,001-5,000 employees",0,,,8,"Technology, Information and Internet, 1,001-5,000 employees","Develop and maintain AWS infrastructure as code using AWS CDK with Python, automate AWS service interactions leveraging Boto3, manage Python project environments and dependencies, write and execute unit and integration tests for infrastructure code, debug and validate infrastructure code quality, collaborate closely with DevOps teams to troubleshoot deployment failures and runtime issues, document infrastructure code and automation workflows for maintainability and scaling","Strong proficiency with AWS Cloud Development Kit (AWS CDK) Python SDK, solid experience with Python 3.x syntax, scripting, and object-oriented programming, experience using AWS Boto3 SDK for AWS automation, familiarity with Python packaging and environment management, practical knowledge of infrastructure automation using Python scripting",Bachelors,"Fully remote environment, opportunity to work on cutting-edge AI projects with leading LLM companies, potential for contract extension based on performance and project needs","Work on cutting-edge AI projects, fully remote environment, opportunity to work with leading LLM companies",,"No response insights available yet, but members who share that they’re interested in a company may be 2x as likely to get a message from a recruiter than those who don’t",7
"The job listing is for a Remote Cloud Infrastructure Engineer at Turing, a company that accelerates the advancement and deployment of powerful AI systems. The role requires expertise in AWS Cloud Development Kit (AWS CDK) with Python, and the candidate will be responsible for designing, implementing, and maintaining scalable and secure cloud infrastructures.",Turing,"Senior, Cloud Infrastructure, Engineer",India,"AI, Cloud Infrastructure","AWS Cloud Development Kit (AWS CDK), Python, AWS Boto3 SDK, Python packaging tools (pip, virtualenv, venv), testing frameworks like pytest, debugging/validation tools such as flake8","Remote, Contract",0,10,"1,001-5,000 employees",0,,,18,"Technology, Information and Internet, 1,001-5,000 employees","Develop and maintain AWS infrastructure as code using AWS CDK with Python, automate AWS service interactions leveraging Boto3, manage Python project environments and dependencies, write and execute unit and integration tests for infrastructure code, debug and validate infrastructure code quality, collaborate closely with DevOps teams to troubleshoot deployment failures and runtime issues, document infrastructure code and automation workflows for maintainability and scaling","Strong proficiency with AWS Cloud Development Kit (AWS CDK) Python SDK, solid experience with Python 3.x syntax, scripting, and object-oriented programming, experience using AWS Boto3 SDK for AWS automation, familiarity with Python packaging and environment management, practical knowledge of infrastructure automation using Python scripting",Bachelors,"Fully remote environment, opportunity to work on cutting-edge AI projects, potential for contract extension based on performance and project needs","Opportunity to work with a fast-growing AI company, potential to work on mission-critical priorities for companies, fully remote environment",,"No response insights available yet, but members who share that they’re interested in a company may be 2x as likely to get a message from a recruiter than those who don’t",8
"The job listing is for a Remote Cloud Infrastructure Engineer at Turing, a company that accelerates the advancement and deployment of powerful AI systems. The role requires expertise in AWS Cloud Development Kit (AWS CDK) with Python, and the candidate will be responsible for designing, implementing, and maintaining scalable and secure cloud infrastructures.",Turing,"Senior, Cloud Infrastructure, Engineer",India,"AI, Cloud Infrastructure","AWS Cloud Development Kit (AWS CDK), Python, AWS Boto3 SDK, Python packaging tools (pip, virtualenv, venv), testing frameworks like pytest, debugging/validation tools such as flake8","Remote, Contract",0,10,"1,001-5,000 employees",0,,,7,"Technology, Information and Internet, 1,001-5,000 employees","Develop and maintain AWS infrastructure as code using AWS CDK with Python, automate AWS service interactions leveraging Boto3, manage Python project environments and dependencies, write and execute unit and integration tests for infrastructure code, debug and validate infrastructure code quality, collaborate with DevOps teams to troubleshoot deployment failures and runtime issues","Strong proficiency with AWS Cloud Development Kit (AWS CDK) Python SDK, solid experience with Python 3.x syntax, scripting, and object-oriented programming, experience using AWS Boto3 SDK for AWS automation, familiarity with Python packaging and environment management, practical knowledge of infrastructure automation using Python scripting",Bachelors,"Fully remote environment, opportunity to work on cutting-edge AI projects, potential for contract extension based on performance and project needs","Work on cutting-edge AI projects with leading LLM companies, opportunity to work with a fast-growing AI company, potential for contract extension based on performance and project needs",,"No response insights available yet, but members who share that they’re interested in a company may be 2x as likely to get a message from a recruiter than those who don’t",9
"The job listing is for a Remote Cloud Infrastructure Engineer at Turing, a company that accelerates the advancement and deployment of powerful AI systems. The role requires expertise in AWS Cloud Development Kit (AWS CDK) with Python, as well as experience with Python 3.x syntax, scripting, and object-oriented programming. The job involves designing, implementing, and maintaining scalable and secure cloud infrastructures, collaborating with DevOps and architects, and troubleshooting deployment failures and runtime issues.",Turing,Senior Cloud Infrastructure Engineer,India,"AI, Cloud Infrastructure","AWS Cloud Development Kit (AWS CDK), Python 3.x, AWS Boto3 SDK, Python packaging tools (pip, virtualenv, venv), testing frameworks like pytest, debugging/validation tools such as flake8","Remote, Contract",2,5,"1,001-5,000 employees",0,,,11,"Technology, Information and Internet","Develop and maintain AWS infrastructure as code using AWS CDK with Python, automate AWS service interactions leveraging Boto3, manage Python project environments and dependencies, collaborate with DevOps teams to troubleshoot deployment failures and runtime issues, document infrastructure code and automation workflows","Strong proficiency with AWS Cloud Development Kit (AWS CDK) Python SDK, solid experience with Python 3.x syntax, scripting, and object-oriented programming, experience using AWS Boto3 SDK for AWS automation, familiarity with Python packaging and environment management",Bachelors,"Fully remote environment, opportunity to work on cutting-edge AI projects, potential for contract extension based on performance and project needs","Working with a fast-growing AI company, opportunity to work on cutting-edge AI projects, fully remote environment",,"No response insights available yet, but members who share that they’re interested in a company may be 2x as likely to get a message from a recruiter than those who don’t",10
"The job listing is for a Remote DevOps Engineer (Terraform/Python) at Turing, a company that accelerates the advancement and deployment of powerful AI systems. The job requires strong proficiency in CDK for Terraform (CDKTF) Python development, solid experience in Python scripting, and hands-on experience defining Terraform resources via Python constructs in CDKTF.",Turing,"Senior, DevOps Engineer",India,"AI, development","Terraform, Python, CDK for Terraform (CDKTF), Terraform CLI, Terraform Cloud","Remote, Contract",1,5,"1,001-5,000 employees",0,,,15,"Technology, Information and Internet","Develop and maintain infrastructure as code using CDK for Terraform with Python, write reusable Python classes and constructs representing Terraform resources and modules, manage infrastructure lifecycle, state, and deployments through Terraform CLI and Terraform Cloud.","Strong proficiency with CDK for Terraform (CDKTF) Python development, solid experience in Python scripting, hands-on experience defining Terraform resources via Python constructs in CDKTF, good understanding of Terraform infrastructure concepts.",Bachelors,"Fully remote environment, opportunity to work on cutting-edge AI projects, potential for contract extension based on performance and project needs.","Work with a fast-growing AI company, opportunity to work on cutting-edge AI projects, fully remote environment.",,"No response insights available yet, 15 applicants so far.",11
"The job posting is for a Software Development Engineer I position at Amazon, located in Gurugram, Haryana, India. The job requires a deep understanding of business, working closely with development teams, and owning the architecture and end-to-end delivery of software components. The ideal candidate should have experience programming with at least one modern language, knowledge of computer science fundamentals, and a Bachelor's degree in computer science or equivalent.",Amazon,"junior, software, engineer","Gurugram, Haryana, India",software development,"Java, C++, C#, object-oriented design, operating systems, algorithms, data structures, complexity analysis",Full-time,0,2,"10,001+",2,,,100,"Large company, guided by four principles: customer obsession, passion for invention, commitment to operational excellence, and long-term thinking","Develop a deep understanding of the business, work closely with development teams, own the architecture and end-to-end delivery of software components, communicate with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategy","Experience programming with at least one modern language, knowledge of computer science fundamentals, experience with agile development methodologies, experience taking a leading role in building complex software systems",Bachelors,"Inclusive culture, career growth and learning opportunities, diversity, equity, and inclusion, unlimited gender transition benefits, short-term and long-term disability coverage, mentoring relationships, affinity group-organized mentor pairings","Opportunity to solve deep technical problems, build innovative solutions, work with smart and passionate software developers, contribute to the company's mission to be Earth's most customer-centric company",,"The ideal candidate should be passionate about software development, have a strong understanding of computer science fundamentals, and be able to work in a fast-paced environment. They should also be able to communicate effectively with users, other technical teams, and senior management.",12
